Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"156,127,272","19,194,286,819.68",13.018,Apple Inc,Common Stock,Information Technology,12/03/2020
QQQ,594918104,MSFT ,"69,084,289","14,800,618,075.36",10.038,Microsoft Corp,Common Stock,Information Technology,12/03/2020
QQQ,023135106,AMZN ,"4,572,541","14,571,453,580.93",9.883,Amazon.com Inc,Common Stock,Consumer Discretionary,12/03/2020
QQQ,88160R101,TSLA ,"10,850,876","6,438,692,800.88",4.367,Tesla Inc,Common Stock,Consumer Discretionary,12/03/2020
QQQ,30303M102,FB ,"21,948,516","6,186,189,234.60",4.196,Facebook Inc,Common Stock,Communication Services,12/03/2020
QQQ,02079K305,GOOGL ,"3,147,166","5,733,632,905.44",3.889,Alphabet Inc,Common Stock,Communication Services,12/03/2020
QQQ,02079K107,GOOG ,"3,045,596","5,563,603,404.92",3.773,Alphabet Inc,Common Stock,Communication Services,12/03/2020
QQQ,67066G104,NVDA ,"7,184,871","3,849,941,276.64",2.611,NVIDIA Corp,Common Stock,Information Technology,12/03/2020
QQQ,70450Y103,PYPL ,"13,663,035","2,931,267,528.90",1.988,PayPal Holdings Inc,Common Stock,Information Technology,12/03/2020
QQQ,20030N101,CMCSA ,"53,085,231","2,738,667,067.29",1.857,Comcast Corp,Common Stock,Communication Services,12/03/2020
QQQ,00724F101,ADBE ,"5,585,683","2,705,034,563.24",1.835,Adobe Inc,Common Stock,Information Technology,12/03/2020
QQQ,64110L106,NFLX ,"5,135,529","2,555,028,388.08",1.733,Netflix Inc,Common Stock,Communication Services,12/03/2020
QQQ,458140100,INTC ,"49,525,802","2,525,320,643.98",1.713,Intel Corp,Common Stock,Information Technology,12/03/2020
QQQ,713448108,PEP ,"16,123,932","2,329,101,977.40",1.580,PepsiCo Inc,Common Stock,Consumer Staples,12/03/2020
QQQ,17275R102,CSCO ,"49,168,365","2,168,816,580.15",1.471,Cisco Systems Inc,Common Stock,Information Technology,12/03/2020
